Analysis	time after start single run (h)	east-west (um)	north-south (um)	primary current (nA)	16 O ions per sec	18O/16O measured	1SE (permil)	16O1H/16O measured	DT-FA-x (digits)	DT-FA-y (digits)	entrance slit x (digits)	18O/16O IMF corrected	d18O SMOW	comment
#Q-S88@29	35.07	4335	2179	2.33	2.13E+09	0.00204035	0.20	0.0263	25	-12	29	0.00204992	22.30	
#Q-S88@30	35.14	4306	2200	2.33	2.14E+09	0.00204183	0.15	0.0265	25	-12	29	0.00205141	23.05	
#Q-S88@31	35.20	4278	2221	2.34	2.11E+09	0.00204522	0.17	0.0259	25	-12	32	0.00205482	24.74	
#Q-S88@32	35.29	4250	2242	2.33	2.11E+09	0.00204047	0.16	0.0253	25	-13	32	0.00205004	22.36	
#Q-S88@33	35.35	4222	2262	2.33	2.11E+09	0.00204004	0.19	0.0242	24	-13	32	0.00204961	22.15	
#Q-S88@34	35.42	4194	2283	2.33	2.14E+09	0.00203815	0.19	0.0256	25	-13	29	0.00204772	21.20	
#Q-S88@35	35.49	4166	2304	2.33	2.13E+09	0.00204000	0.21	0.0251	24	-12	29	0.00204957	22.13	
#Q-S88@36	35.55	4137	2324	2.33	2.13E+09	0.00204294	0.14	0.0248	25	-11	29	0.00205253	23.60	
#Q-S88@37	35.62	4109	2345	2.33	2.11E+09	0.00204418	0.18	0.0256	25	-11	32	0.00205377	24.22	
#Q-S88@38	35.69	4081	2366	2.33	2.12E+09	0.00204530	0.18	0.0254	25	-11	31	0.00205490	24.78	
#Q-S88@39	35.75	4053	2387	2.33	2.13E+09	0.00204389	0.22	0.0260	25	-11	29	0.00205348	24.08	
